clyde_32bit-shadow_32bit-haswell-bench | 8192 bytes, ns/iter: 6.073e+04, ns/byte: 7.413
clyde_32bit-shadow_32bit-haswell-bench | 16384 bytes, ns/iter: 1.21e+05, ns/byte: 7.385
clyde_32bit-shadow_32bit-haswell-bench | 32768 bytes, ns/iter: 2.414e+05, ns/byte: 7.367
clyde_32bit-shadow_32bit-haswell-bench | 65536 bytes, ns/iter: 4.822e+05, ns/byte: 7.358
clyde_32bit-shadow_32bit-haswell-bench | 131072 bytes, ns/iter: 9.636e+05, ns/byte: 7.352
clyde_32bit-shadow_32bit-haswell-bench | 262144 bytes, ns/iter: 1.927e+06, ns/byte: 7.352
clyde_32bit-shadow_32bit-haswell-bench | 524288 bytes, ns/iter: 3.855e+06, ns/byte: 7.353
clyde_32bit-shadow_32bit-skylake-avx512-bench | 16 bytes, ns/iter: 692.3, ns/byte: 43.27
clyde_32bit-shadow_32bit-skylake-avx512-bench | 32 bytes, ns/iter: 674.9, ns/byte: 21.09
clyde_32bit-shadow_32bit-skylake-avx512-bench | 64 bytes, ns/iter: 843.5, ns/byte: 13.18
clyde_32bit-shadow_32bit-skylake-avx512-bench | 128 bytes, ns/iter: 1206, ns/byte: 9.423
clyde_32bit-shadow_32bit-skylake-avx512-bench | 256 bytes, ns/iter: 1930, ns/byte: 7.54
clyde_32bit-shadow_32bit-skylake-avx512-bench | 512 bytes, ns/iter: 3390, ns/byte: 6.621
clyde_32bit-shadow_32bit-skylake-avx512-bench | 1024 bytes, ns/iter: 6286, ns/byte: 6.139
clyde_32bit-shadow_32bit-skylake-avx512-bench | 2048 bytes, ns/iter: 1.208e+04, ns/byte: 5.9
clyde_32bit-shadow_32bit-skylake-avx512-bench | 4096 bytes, ns/iter: 2.366e+04, ns/byte: 5.778
clyde_32bit-shadow_32bit-skylake-avx512-bench | 8192 bytes, ns/iter: 4.687e+04, ns/byte: 5.721
clyde_32bit-shadow_32bit-skylake-avx512-bench | 16384 bytes, ns/iter: 9.327e+04, ns/byte: 5.692
clyde_32bit-shadow_32bit-skylake-avx512-bench | 32768 bytes, ns/iter: 1.862e+05, ns/byte: 5.681
clyde_32bit-shadow_32bit-skylake-avx512-bench | 65536 bytes, ns/iter: 3.717e+05, ns/byte: 5.672
clyde_32bit-shadow_32bit-skylake-avx512-bench | 131072 bytes, ns/iter: 7.431e+05, ns/byte: 5.669
clyde_32bit-shadow_32bit-skylake-avx512-bench | 262144 bytes, ns/iter: 1.486e+06, ns/byte: 5.669
clyde_32bit-shadow_32bit-skylake-avx512-bench | 524288 bytes, ns/iter: 2.971e+06, ns/byte: 5.667
clyde_32bit-shadow_32bit-x86-64-bench | 16 bytes, ns/iter: 1277, ns/byte: 79.78
clyde_32bit-shadow_32bit-x86-64-bench | 32 bytes, ns/iter: 1263, ns/byte: 39.48
clyde_32bit-shadow_32bit-x86-64-bench | 64 bytes, ns/iter: 1716, ns/byte: 26.81
clyde_32bit-shadow_32bit-x86-64-bench | 128 bytes, ns/iter: 2631, ns/byte: 20.55
clyde_32bit-shadow_32bit-x86-64-bench | 256 bytes, ns/iter: 4462, ns/byte: 17.43
clyde_32bit-shadow_32bit-x86-64-bench | 512 bytes, ns/iter: 8117, ns/byte: 15.85
clyde_32bit-shadow_32bit-x86-64-bench | 1024 bytes, ns/iter: 1.542e+04, ns/byte: 15.06
clyde_32bit-shadow_32bit-x86-64-bench | 2048 bytes, ns/iter: 3.002e+04, ns/byte: 14.66
clyde_32bit-shadow_32bit-x86-64-bench | 4096 bytes, ns/iter: 5.924e+04, ns/byte: 14.46
clyde_32bit-shadow_32bit-x86-64-bench | 8192 bytes, ns/iter: 1.177e+05, ns/byte: 14.36
clyde_32bit-shadow_32bit-x86-64-bench | 16384 bytes, ns/iter: 2.348e+05, ns/byte: 14.33
clyde_32bit-shadow_32bit-x86-64-bench | 32768 bytes, ns/iter: 4.704e+05, ns/byte: 14.35
clyde_32bit-shadow_32bit-x86-64-bench | 65536 bytes, ns/iter: 9.545e+05, ns/byte: 14.56
clyde_32bit-shadow_32bit-x86-64-bench | 131072 bytes, ns/iter: 1.871e+06, ns/byte: 14.27
clyde_32bit-shadow_32bit-x86-64-bench | 262144 bytes, ns/iter: 3.754e+06, ns/byte: 14.32
